Rating,Promotion,Show,Date,Year,Match Listing,Match Type,Notes,Card,S/M,Amount,Participants
2,AWA,AWA TV,02/12/1972,1972,Billy Robinson & Don Muraco vs. The Texas Outlaws (Dick Murdoch & Dusty Rhodes),Best Two Out Of Three Falls Tag Team Match,,Link,M,4,"billyrobinson1, donmuraco1, dickmurdoch1, dustyrhodes1, , , , , , "
2,BTW,House Show,18/12/1971,1971,Ben Justice & The Stomper vs. The Fabulous Kangaroos (Al Costello & Don Kent),NWA World Tag Team Title Tournament Final Match,,Link,M,4,"benjustice1, jerryvaliant1, alcostello1, donkent1, , , , , ,"
3,CWA,House Show,21/12/1981,1981,Bill Dundee vs. The Super Destroyer,Singles Match,Mid-South Coliseum,Link,S,2,"billdundee1, billdromo1, , , , , , , ,"
2,CWA,Memphis Championship Wrestling TV,03/10/1981,1981,Stan Lane & Sweet Brown Sugar (c) vs. Eddie Gilbert & Ricky Morton,Southern Tag Team Title Match,,Link,M,4,"stanlane1, kokobware1, eddiegilbert1, rickymorton1, , , , , ,"
2,CWA,House Show,01/10/1981,1981,Eddie Gilbert & Ricky Morton vs. Stan Lane & Sweet Brown Sugar,Tag Team Match,Month Only - Arkansas,,M,4,"eddiegilbert1, rickymorton1, stanlane1, kokobware1, , , , , ,"
2,CWA,Memphis Championship Wrestling TV,26/09/1981,1981,Bill Dundee & Roy Rogers vs. Stan Lane & Sweet Brown Sugar,Tag Team Match,,Link,M,4,"billdundee1, johnnyrich1, stanlane1, kokobware1, , , , , ,"
2,CWA,Memphis Championship Wrestling TV,05/09/1981,1981,Eddie Gilbert & Ricky Morton vs. The Heartbreakers (Joe Cagle & Rocky Sortar),Tag Team Match,,Link,M,4,"eddiegilbert1, rickymorton1, joeycagle1, rockysortar1, , , , , ,"
2,CWA,Memphis Championship Wrestling TV,05/09/1981,1981,"Mr. Fuchi, Mr. Onita & Tojo Yamamoto vs. The Gibson Brothers (Rick Gibson & Robert Gibson) & Roy Rogers",Expiration Of Time Six Man Tag Team Match,,Link,M,6,"masanobufuchi1, atsushionita1, tojoyamamoto1, rickygibson1, robertgibson1, johnnyrich1, , , ,"
2,CWA,Championship Wrestling TV,01/08/1981,1981,Bill Dundee & Jerry Lawler (c) vs. Mr. Fuchi & Mr. Onita,AWA Southern Tag Team Title Match,,Link,M,4,"billdundee1, jerrylawler1, masanobufuchi1, atsushionita1, , , , , ,"
2,CWA,House Show,19/07/1981,1981,"Bill Dundee, Steve Keirn, Ricky Gibson & Robert Gibson vs. Dream Machine, Nightmare #1 & The Heartbreakers (Joey Cagle & Rocky Sortar)",Eight Man Tag Team Match,Fuzzy date,,M,8,"billdundee1, stevekeirn1, rickygibson1, robertgibson1, dreammachine1, dannydavis1, joeycagle1, rockysortar1, ,"
3,CWA,House Show,29/06/1981,1981,Jimmy Hart vs. Jerry Lawler,No Disqualification Lumberjack Match,,Link,S,2,"jimmyhart1, jerrylawler1, , , , , , , ,"
2,CWA,Championship Wrestling TV,06/06/1981,1981,Kevin Sullivan (c) vs. Steve Keirn,CWA Television Title Match,,Link,S,2,"kevinsullivan1, stevekeirn1, , , , , , , ,"
2,CWA,Memphis Championship Wrestling TV,09/05/1981,1981,Dutch Mantell (c) vs. Kevin Sullivan,CWA Television Title Match,,Link,S,2,"dutchmantell1, kevinsullivan1, , , , , , , ,"
3,CWA,House Show,04/05/1981,1981,Jerry Lawler vs. Jerry Blackwell,Singles Match,,Link,S,2,"jerrylawler1, jerryblackwell1, , , , , , , ,"
2,CWA,Memphis Championship Wrestling TV,02/05/1981,1981,Bill Dundee & Dream Machine (c) vs. Kevin Sullivan & Wayne Ferris,AWA Southern Tag Team Title Match,,Link,M,4,"billdundee1, dreammachine1, kevinsullivan1, honkytonkman1, , , , , ,"
4.5,CWA,House Show,06/04/1981,1981,Terry Funk vs. Jerry Lawler,Empty Arena Match,,Link,S,2,"terryfunk1, jerrylawler1, , , , , , , ,"
3,CWA,House Show,30/03/1981,1981,Dory Funk Jr. vs. Jerry Lawler,Singles Match,,Link,S,2,"doryfunkjr1, jerrylawler1, , , , , , , ,"
4.75,CWA,House Show,23/03/1981,1981,Terry Funk vs. Jerry Lawler,No Disqualification Match,,Link,S,2,"jerrylawler1, terryfunk1, , , , , , , ,"
2,CWA,Memphis Championship Wrestling TV,14/03/1981,1981,Dutch Mantell & Wayne Ferris vs. Bill Dundee & Dream Machine,Expiration Of Time Tag Team Match,,Link,M,4,"dutchmantell1, honkytonkman1, billdundee1, dreammachine1, , , , , ,"
4,CWA,House Show,12/03/1981,1981,Austin Idol & Dutch Mantell (c) vs. Bill Dundee & Tommy Rich,CWA World Tag Team Title Match,,Link,M,4,"austinidol1, dutchmantell1, billdundee1, tommyrich1, , , , , ,"
